"Name","AnnotatedEntity","Value"
"credentials","New Virtual Machine",""
"data-type","New Virtual Machine",""
"dhcp","New Virtual Machine",""
"dns-entries","New Virtual Machine",""
"env","New Virtual Machine",""
"image","New Virtual Machine",""
"ip-data-gw","New Virtual Machine",""
"ip-data-local","New Virtual Machine",""
"ip-data-remote","New Virtual Machine",""
"ip-floating","New Virtual Machine",""
"ip-management-gw","New Virtual Machine",""
"ip-management-local","New Virtual Machine",""
"ip-management-remote","New Virtual Machine",""
"ip-oracle-pri-local","New Virtual Machine",""
"ip-oracle-pri-remote","New Virtual Machine",""
"ip-scan","New Virtual Machine",""
"ip-virtual","New Virtual Machine",""
"owner","New Virtual Machine",""
"platform","New Virtual Machine",""
"site","New Virtual Machine",""
"team","New Virtual Machine",""
"credentials","itautomate1",""
"data-type","itautomate1",""
"dhcp","itautomate1",""
"dns-entries","itautomate1",""
"env","itautomate1",""
"image","itautomate1",""
"ip-data-gw","itautomate1",""
"ip-data-local","itautomate1",""
"ip-data-remote","itautomate1",""
"ip-floating","itautomate1",""
"ip-management-gw","itautomate1",""
"ip-management-local","itautomate1",""
"ip-management-remote","itautomate1",""
"ip-oracle-pri-local","itautomate1",""
"ip-oracle-pri-remote","itautomate1",""
"ip-scan","itautomate1",""
"ip-virtual","itautomate1",""
"owner","itautomate1",""
"platform","itautomate1",""
"site","itautomate1",""
"team","itautomate1",""
"credentials","vc.axxana.local",""
"data-type","vc.axxana.local",""
"dhcp","vc.axxana.local",""
"dns-entries","vc.axxana.local",""
"env","vc.axxana.local",""
"image","vc.axxana.local",""
"ip-data-gw","vc.axxana.local",""
"ip-data-local","vc.axxana.local",""
"ip-data-remote","vc.axxana.local",""
"ip-floating","vc.axxana.local",""
"ip-management-gw","vc.axxana.local",""
"ip-management-local","vc.axxana.local",""
"ip-management-remote","vc.axxana.local",""
"ip-oracle-pri-local","vc.axxana.local",""
"ip-oracle-pri-remote","vc.axxana.local",""
"ip-scan","vc.axxana.local",""
"ip-virtual","vc.axxana.local",""
"owner","vc.axxana.local",""
"platform","vc.axxana.local",""
"site","vc.axxana.local",""
"team","vc.axxana.local",""
"credentials","test1tmp",""
"data-type","test1tmp",""
"dhcp","test1tmp",""
"dns-entries","test1tmp",""
"env","test1tmp",""
"image","test1tmp",""
"ip-data-gw","test1tmp",""
"ip-data-local","test1tmp",""
"ip-data-remote","test1tmp",""
"ip-floating","test1tmp",""
"ip-management-gw","test1tmp",""
"ip-management-local","test1tmp",""
"ip-management-remote","test1tmp",""
"ip-oracle-pri-local","test1tmp",""
"ip-oracle-pri-remote","test1tmp",""
"ip-scan","test1tmp",""
"ip-virtual","test1tmp",""
"owner","test1tmp",""
"platform","test1tmp",""
"site","test1tmp",""
"team","test1tmp",""
"credentials","New Virtual Machine5",""
"data-type","New Virtual Machine5",""
"dhcp","New Virtual Machine5",""
"dns-entries","New Virtual Machine5",""
"env","New Virtual Machine5",""
"image","New Virtual Machine5",""
"ip-data-gw","New Virtual Machine5",""
"ip-data-local","New Virtual Machine5",""
"ip-data-remote","New Virtual Machine5",""
"ip-floating","New Virtual Machine5",""
"ip-management-gw","New Virtual Machine5",""
"ip-management-local","New Virtual Machine5",""
"ip-management-remote","New Virtual Machine5",""
"ip-oracle-pri-local","New Virtual Machine5",""
"ip-oracle-pri-remote","New Virtual Machine5",""
"ip-scan","New Virtual Machine5",""
"ip-virtual","New Virtual Machine5",""
"owner","New Virtual Machine5",""
"platform","New Virtual Machine5",""
"site","New Virtual Machine5",""
"team","New Virtual Machine5",""
